"Code de la circ. AFE";"Libellé la circ. AFE";"Nom de l'élu";"Prénom de l'élu";"Code sexe";"Date de naissance";"Code de la catégorie socio-professionnelle";"Libellé de la catégorie socio-professionnelle";"Date de début du mandat";"Libellé de la fonction";"Date de début de la fonction"
1;"Canada";"DELLAPINA";"Olivier";"M";17/09/75;54;"Employé administratif d'entreprise";06/12/21;;
1;"Canada";"GALLET";"Aloïs";"M";23/09/85;22;"Commerçant et assimilé";01/07/23;;
1;"Canada";"SFEIR";"Ramzi";"M";09/02/86;37;"Cadre administratif et commercial d'entreprise";06/12/21;;
1;"Canada";"WATKINS";"Francine";"F";03/12/49;23;"Chef d'entreprise de 10 salariés ou plus";06/12/21;;
2;"Etats-Unis d'Amérique";"EPELBAUM";"Gérard";"M";11/03/58;31;"Profession libérale";06/12/21;;
2;"Etats-Unis d'Amérique";"HULOT";"Sandrine";"F";31/07/72;34;"Professeur, profession scientifique";06/12/21;;
2;"Etats-Unis d'Amérique";"LE GLAND";"Loïc";"M";30/03/77;38;"Ingénieur et cadre technique d'entreprise";06/12/21;;
2;"Etats-Unis d'Amérique";"ORTOLI";"Richard";"M";11/11/49;31;"Profession libérale";06/12/21;;
2;"Etats-Unis d'Amérique";"PITON";"Olivier";"M";03/08/66;31;"Profession libérale";06/12/21;;
2;"Etats-Unis d'Amérique";"RICHARD";"Pascale";"F";08/11/58;35;"Profession de l'information, des arts et des spectacles";06/12/21;;
2;"Etats-Unis d'Amérique";"SOUIHI";"Warda";"F";17/04/87;33;"Cadre de la fonction publique";06/12/21;;
3;"Amérique latine et Caraïbes";"BIURRUN";"Martin";"M";28/10/91;31;"Profession libérale";06/12/21;;
3;"Amérique latine et Caraïbes";"DELUCHEY";"Jean-François";"M";10/03/72;34;"Professeur, profession scientifique";06/12/21;;
3;"Amérique latine et Caraïbes";"GLOCK";"Denis";"M";27/03/64;42;"Professeur des écoles, instituteur et assimilé";06/12/21;;
3;"Amérique latine et Caraïbes";"HARITÇALDE";"Marie Christine";"F";13/10/48;31;"Profession libérale";06/12/21;;
3;"Amérique latine et Caraïbes";"LAVERGNE";"Cécile";"F";20/08/84;23;"Chef d'entreprise de 10 salariés ou plus";06/12/21;;
3;"Amérique latine et Caraïbes";"SIGNORET";"Gérard";"M";09/06/60;23;"Chef d'entreprise de 10 salariés ou plus";06/12/21;;
3;"Amérique latine et Caraïbes";"SUBERVILLE";"Geneviève";"F";18/10/57;72;"Ancien artisan, commerçant, chef d'entreprise";06/12/21;;
4;"Europe du Nord";"AHMAR";"Samy";"M";28/02/86;37;"Cadre administratif et commercial d'entreprise";06/12/21;;
4;"Europe du Nord";"BERTIN";"Olivier";"M";05/07/68;23;"Chef d'entreprise de 10 salariés ou plus";06/12/21;;
4;"Europe du Nord";"CONNELL";"Patricia";"F";01/02/61;22;"Commerçant et assimilé";06/12/21;;
4;"Europe du Nord";"HELAILI-CHAPUIS";"Laurence";"F";07/08/85;85;"Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité)";06/12/21;;
4;"Europe du Nord";"MALLET";"Amelie";"F";23/08/72;31;"Profession libérale";06/12/21;;
4;"Europe du Nord";"MARIN-CUDRAZ";"Benoit";"M";17/11/56;22;"Commerçant et assimilé";06/12/21;;
4;"Europe du Nord";"PARMEGIANI";"Nathalie";"F";03/12/61;34;"Professeur, profession scientifique";06/12/21;;
4;"Europe du Nord";"VAZEILLE";"Rémi";"M";28/05/66;37;"Cadre administratif et commercial d'entreprise";31/01/22;;
5;"Benelux";"DEGRYSE";"Hélène";"F";11/03/77;31;"Profession libérale";06/12/21;;
5;"Benelux";"GONDARD";"Cécilia";"F";04/06/80;37;"Cadre administratif et commercial d'entreprise";06/12/21;;
5;"Benelux";"LAVEANT";"Pierre";"M";06/07/73;33;"Cadre de la fonction publique";06/12/21;;
5;"Benelux";"LIBEAUT";"Catherine";"F";26/09/63;43;"Profession intermédiaire de la santé et du travail social";06/12/21;;
5;"Benelux";"MASSON";"Thierry";"M";11/08/83;33;"Cadre de la fonction publique";06/12/21;;
5;"Benelux";"SCHAULI";"Frédéric";"M";15/08/78;38;"Ingénieur et cadre technique d'entreprise";06/12/21;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";"BOUVERET";"Ellen";"F";08/03/58;34;"Professeur, profession scientifique";06/12/21;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";"CHATEAU-DUCOS";"Alexandre";"M";30/01/69;37;"Cadre administratif et commercial d'entreprise";06/12/21;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";"COL";"Alexandre";"M";16/08/63;85;"Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité)";06/12/21;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";"FOUQUES-WEISS";"Nadine";"F";21/11/49;31;"Profession libérale";06/12/21;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";"GROSSO";"Guillaume";"M";18/12/74;37;"Cadre administratif et commercial d'entreprise";06/12/21;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";"KEIL";"Jean-Philippe";"M";17/09/67;23;"Chef d'entreprise de 10 salariés ou plus";13/10/23;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";"LANGLET";"Jean-Marie";"M";08/11/44;31;"Profession libérale";28/07/22;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";"LECLERC";"Audrey";"F";06/01/87;33;"Cadre de la fonction publique";06/12/21;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";"LOISEAU";"Philippe";"M";24/06/64;31;"Profession libérale";26/10/22;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";"OUAMMAR";"Saliha";"F";03/01/64;31;"Profession libérale";12/10/23;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";"PLUDERMACHER";"Bruno";"M";26/05/61;31;"Profession libérale";06/12/21;;
7;"Europe centrale et orientale ( y compris Russie )";"CHAUVEAU";"Frédéric";"M";16/03/70;34;"Professeur, profession scientifique";26/04/22;;
7;"Europe centrale et orientale ( y compris Russie )";"DUBARD-KAJTAR";"Jeanne";"F";22/09/63;37;"Cadre administratif et commercial d'entreprise";06/12/21;;
7;"Europe centrale et orientale ( y compris Russie )";"MAYRAND";"Benoît";"M";10/09/66;23;"Chef d'entreprise de 10 salariés ou plus";06/12/21;;
8;"Europe du Sud";"BEZARDIN";"Alexandre";"M";30/12/72;37;"Cadre administratif et commercial d'entreprise";06/12/21;;
8;"Europe du Sud";"LE CARDINAL";"Hugues";"M";28/06/67;23;"Chef d'entreprise de 10 salariés ou plus";06/12/21;;
8;"Europe du Sud";"PICHARLES";"Chantal";"F";13/01/58;42;"Professeur des écoles, instituteur et assimilé";06/12/21;;
8;"Europe du Sud";"REA";"Annie";"F";18/08/61;31;"Profession libérale";06/12/21;;
8;"Europe du Sud";"SPIESSER";"Olivier";"M";23/09/67;34;"Professeur, profession scientifique";06/12/21;;
9;"Péninsule Ibérique";"BOURBON";"Pascal";"M";18/01/65;23;"Chef d'entreprise de 10 salariés ou plus";06/12/21;;
