"Code de la circonscription AFE";"Libellé la circonscription AFE";"Code de la circonscription consulaire";"Libellé de la circonscription consulaire";"Nom de l'élu";"Prénom de l'élu";"Code sexe";"Date de naissance";"Lieu de naissance";"Code de la catégorie socio-professionnelle";"Libellé de la catégorie socio-professionnelle";"Date de début du mandat";"Libellé de la fonction";"Date de début de la fonction"
1;"Canada";101;"Canada - 1re circonscription";"DELLAPINA";"Cindy";"F";1979-02-12;"Rouen";65;"Ouvrier qualifié de la manutention, du magasinage et du transport";2021-05-31;"Président du conseil consulaire";2022-10-24
1;"Canada";101;"Canada - 1re circonscription";"DELLAPINA";"Olivier";"M";1975-09-17;"PARIS10";54;"Employé administratif d'entreprise";2021-05-31;;
1;"Canada";101;"Canada - 1re circonscription";"GALLET";"Aloïs";"M";1985-09-23;"Charleville-Mézières";22;"Commerçant et assimilé";2021-05-31;;
1;"Canada";101;"Canada - 1re circonscription";"POINT";"Franck";"M";1966-03-23;"LYON 6E ARRONDISSEMENT";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;;
1;"Canada";102;"Canada - 2e circonscription";"ADENOT-OWUSU";"Delphine";"F";1985-06-30;"Nevers";37;"Cadre administratif et commercial d'entreprise";2021-05-31;;
1;"Canada";102;"Canada - 2e circonscription";"BIDERMAN";"Séverine";"F";1972-06-19;"PARIS 9ème";35;"Profession de l'information, des arts et des spectacles";2022-11-01;;
1;"Canada";102;"Canada - 2e circonscription";"GIFFAUX";"Olivier";"M";1973-03-05;"Gouvieux";54;"Employé administratif d'entreprise";2021-05-31;;
1;"Canada";102;"Canada - 2e circonscription";"WATKINS";"Francine";"F";1949-12-03;"Metz";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;"Président du conseil consulaire";2021-06-16
1;"Canada";103;"Canada - 3e circonscription";"BERT";"Laetitia";"F";1992-04-02;"Echirolles";84;"Elève, étudiant";2021-05-31;"Président du conseil consulaire";2021-06-08
1;"Canada";103;"Canada - 3e circonscription";"LECOMTE";"Guillaume";"M";1996-10-28;"Strasbourg";38;"Ingénieur et cadre technique d'entreprise";2021-05-31;;
1;"Canada";103;"Canada - 3e circonscription";"SILVE";"Arthur";"M";1982-04-20;"Aix-En-Provence";34;"Professeur, profession scientifique";2021-05-31;"Président du conseil consulaire";2022-01-25
1;"Canada";103;"Canada - 3e circonscription";"TROUSSIER";"Richard";"M";1972-08-14;"CANADA";37;"Cadre administratif et commercial d'entreprise";2021-10-22;;
1;"Canada";104;"Canada - 4e circonscription";"BOURGOIN";"Alaric";"M";1984-08-23;"Vannes";34;"Professeur, profession scientifique";2022-10-23;;
