"Code de la région";"Libellé de la région";"Code du département";"Libellé du  département";"Code de la collectivité à statut particulier";"Libellé de la collectivité à statut particulier";"Code de la section - collectivité à statut particulier";"Libellé de la section - collectivité à statut particulier";"Code de la circonscription métropolitaine";"Libellé de la circonscription métropolitaine";"Nom de l'élu";"Prénom de l'élu";"Code sexe";"Date de naissance";"Code de la catégorie socio-professionnelle";"Libellé de la catégorie socio-professionnelle";"Date de début du mandat";"Libellé de la fonction";"Date de début de la fonction"
;;;;975;"Saint-Pierre-Et-Miquelon";;;;;"BRIAND";"Bernard";"M";1974-07-05;42;"Professeur des écoles, instituteur et assimilé";2017-03-19;"Président de l'assemblée";2020-10-13
;;;;975;"Saint-Pierre-Et-Miquelon";;;;;"DAGORT";"Jean-Louis";"M";1964-03-28;52;"Employé civil et agent de service de la fonction publique";2017-03-19;"Membre de l'organe exécutif";2017-10-24
;;;;975;"Saint-Pierre-Et-Miquelon";;;;;"LEMOINE";"Claude";"M";1984-07-03;52;"Employé civil et agent de service de la fonction publique";2017-03-19;"Vice-président de l'organe éxécutif";2020-10-13
;;;;975;"Saint-Pierre-Et-Miquelon";;;;;"SKINNER";"Sandy";"F";1988-11-02;43;"Profession intermédiaire de la santé et du travail social";2017-03-19;;
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69001;"Lones Et Coteaux";"ARAUJO";"Olivier";"M";1980-07-10;37;"Cadre administratif et commercial d'entreprise";2026-03-23;"Vice-président de l'assemblée";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69001;"Lones Et Coteaux";"DEGRANGE";"Marc";"M";1967-05-10;22;"Commerçant et assimilé";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69001;"Lones Et Coteaux";"DELORME";"Clément";"M";1988-01-21;37;"Cadre administratif et commercial d'entreprise";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69001;"Lones Et Coteaux";"FRAPPA-ROUSSE";"Carine";"F";1975-05-14;33;"Cadre de la fonction publique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69001;"Lones Et Coteaux";"FREYER";"Blandine";"F";1969-05-24;85;"Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité)";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69001;"Lones Et Coteaux";"FUGIT";"Jean-Luc";"M";1969-11-27;34;"Professeur, profession scientifique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69001;"Lones Et Coteaux";"GROSPERRIN";"Anne";"F";1959-05-19;74;"Ancien cadre";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69001;"Lones Et Coteaux";"KOHLHAAS";"Jean-Charles";"M";1964-09-29;31;"Profession libérale";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69001;"Lones Et Coteaux";"LACROIX SABRAN";"Isabelle";"F";1961-11-27;74;"Ancien cadre";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69001;"Lones Et Coteaux";"MILLET";"Marylène";"F";1967-05-05;37;"Cadre administratif et commercial d'entreprise";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69001;"Lones Et Coteaux";"MOROGE";"Jérôme";"M";1979-08-23;85;"Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité)";2026-03-23;"Vice-président de l'assemblée";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69001;"Lones Et Coteaux";"PATOUT";"Cécile";"F";1990-03-20;33;"Cadre de la fonction publique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69002;"Lyon-Ouest";"AULAS";"Jean-Michel";"M";1949-03-22;23;"Chef d'entreprise de 10 salariés ou plus";2026-03-23;"Vice-président de l'assemblée";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69002;"Lyon-Ouest";"BENCHARAA";"Myriam";"F";1976-06-25;23;"Chef d'entreprise de 10 salariés ou plus";2026-03-23;"Vice-président de l'assemblée";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69002;"Lyon-Ouest";"BONNET";"Nicolas";"M";1974-01-25;37;"Cadre administratif et commercial d'entreprise";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69002;"Lyon-Ouest";"BOUZERDA";"Fouziya";"F";1971-06-02;37;"Cadre administratif et commercial d'entreprise";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69002;"Lyon-Ouest";"CUCHERAT";"Yann";"M";1979-10-02;33;"Cadre de la fonction publique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69002;"Lyon-Ouest";"CÉDAT";"Laure";"F";1978-04-05;31;"Profession libérale";2026-03-23;"Vice-président de l'assemblée";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69002;"Lyon-Ouest";"GEORGEL";"Nadine";"F";1977-05-21;34;"Professeur, profession scientifique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69002;"Lyon-Ouest";"JOURNY";"François";"M";1982-06-22;23;"Chef d'entreprise de 10 salariés ou plus";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69002;"Lyon-Ouest";"ROTHÉ";"Pascal";"M";1960-12-02;33;"Cadre de la fonction publique";2026-03-23;"Vice-président de l'assemblée";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69002;"Lyon-Ouest";"RUDIGOZ";"Thomas";"M";1971-01-11;31;"Profession libérale";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69002;"Lyon-Ouest";"VOISIN-MOULINIER";"Catherine";"F";1960-02-25;74;"Ancien cadre";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69003;"Lyon-Sud";"BATAL";"Abdel";"M";1977-05-02;37;"Cadre administratif et commercial d'entreprise";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69003;"Lyon-Sud";"DE LAURENS";"Céline";"F";1980-07-22;37;"Cadre administratif et commercial d'entreprise";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69003;"Lyon-Sud";"DUBOT";"Fanny";"F";1989-03-02;78;"Ancien ouvrier";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69003;"Lyon-Sud";"GAGNAIRE";"Stéphanie";"F";1971-06-29;37;"Cadre administratif et commercial d'entreprise";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69003;"Lyon-Sud";"GEOURJON";"Christophe";"M";1966-08-24;34;"Professeur, profession scientifique";2026-03-23;"Vice-président de l'assemblée";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69003;"Lyon-Sud";"MONOT";"Vincent";"M";1981-09-28;33;"Cadre de la fonction publique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69003;"Lyon-Sud";"PAYRE";"Renaud";"M";1975-04-24;34;"Professeur, profession scientifique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69003;"Lyon-Sud";"VACHER";"Lucie";"F";1989-05-06;34;"Professeur, profession scientifique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69004;"Lyon-Centre";"BAGNON";"Fabien";"M";1975-08-21;38;"Ingénieur et cadre technique d'entreprise";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69004;"Lyon-Centre";"BAUME";"Emeline";"F";1977-09-03;45;"Profession intermédiaire administrative de la fonction publique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69004;"Lyon-Centre";"BERTRAND";"Jérôme";"M";1980-06-29;37;"Cadre administratif et commercial d'entreprise";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69004;"Lyon-Centre";"BOFFET";"Laurence";"F";1973-01-02;38;"Ingénieur et cadre technique d'entreprise";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69004;"Lyon-Centre";"BOLLIET";"Suzy";"F";1994-11-12;37;"Cadre administratif et commercial d'entreprise";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69004;"Lyon-Centre";"BONNEFOY";"Thomas";"M";1990-12-19;37;"Cadre administratif et commercial d'entreprise";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69004;"Lyon-Centre";"BOUKRALFA";"Kheira";"F";1975-10-14;37;"Cadre administratif et commercial d'entreprise";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69004;"Lyon-Centre";"GUITARD";"Aline";"F";1972-03-29;34;"Professeur, profession scientifique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69004;"Lyon-Centre";"LORENTZ POINSOT";"Valérie";"F";1968-11-07;31;"Profession libérale";2026-03-23;"Autre membre";2026-03-26
