"Nom de l'élu";"Prénom de l'élu";"Code sexe";"Date de naissance";"Code de la catégorie socio-professionnelle";"Libellé de la catégorie socio-professionnelle";"Date de début du mandat"
"ALLIONE";"Grégory";"M";1971-07-25;53;"Policier et militaire";2024-07-16
"ANDROUËT";"Mathilde";"F";1984-07-03;33;"Cadre de la fonction publique";2024-07-16
"AUBRY";"Manon";"F";1989-12-22;33;"Cadre de la fonction publique";2024-07-16
"BARDELLA";"Jordan";"M";1995-09-13;33;"Cadre de la fonction publique";2024-07-16
"BAY";"Christophe";"M";1962-09-06;33;"Cadre de la fonction publique";2024-09-28
"BAY";"Nicolas";"M";1977-12-21;33;"Cadre de la fonction publique";2024-07-16
"BELLAMY";"François-Xavier";"M";1985-10-11;34;"Professeur, profession scientifique";2024-07-16
"BOYER";"Gilles";"M";1971-07-04;33;"Cadre de la fonction publique";2024-07-16
"BRASIER-CLAIN";"Marie-Luce";"F";1959-10-19;75;"Ancienne profession intermédiaire";2024-07-16
"CAMARA";"Mélissa";"F";1991-11-27;43;"Profession intermédiaire de la santé et du travail social";2024-07-16
"CANFIN";"Pascal";"M";1974-08-22;33;"Cadre de la fonction publique";2024-07-16
"CAREME";"Damien";"M";1960-11-16;33;"Cadre de la fonction publique";2024-07-16
"CASTILLO";"Laurent";"M";1962-03-12;34;"Professeur, profession scientifique";2024-07-16
"CHAIBI";"Leïla";"F";1982-10-05;33;"Cadre de la fonction publique";2024-07-16
"CLERGEAU";"Christophe";"M";1968-09-01;33;"Cadre de la fonction publique";2024-07-16
"CORMAND";"David";"M";1974-11-30;33;"Cadre de la fonction publique";2024-07-16
"DAUCHY";"Marie";"F";1987-02-05;54;"Employé administratif d'entreprise";2024-07-16
"DECERLE";"Jérémy";"M";1984-07-01;12;"Agriculteur sur moyenne exploitation";2025-10-12
"DELOGE";"Valérie";"F";1966-05-09;11;"Agriculteur sur petite exploitation";2024-07-16
"DEVAUX";"Valérie";"F";1964-06-19;34;"Professeur, profession scientifique";2024-07-16
"DISDIER";"Mélanie";"F";1974-01-27;22;"Commerçant et assimilé";2024-07-16
"FARRENG";"Laurence";"F";1966-09-06;33;"Cadre de la fonction publique";2024-07-16
"FITA";"Claire";"F";1976-12-31;33;"Cadre de la fonction publique";2024-07-16
"FOURREAU";"Emma";"F";1999-10-01;33;"Cadre de la fonction publique";2024-07-16
"FRIGOUT";"Anne-Sophie";"F";1991-04-11;34;"Professeur, profession scientifique";2024-07-16
"FURET";"Angéline";"F";1981-07-24;31;"Profession libérale";2024-07-16
"GARRAUD";"Jean-Paul";"M";1956-02-27;33;"Cadre de la fonction publique";2024-07-16
"GERMAIN";"Jean-Marc";"M";1966-06-12;33;"Cadre de la fonction publique";2024-07-16
"GLUCKSMANN";"Raphaël";"M";1979-10-15;35;"Profession de l'information, des arts et des spectacles";2024-07-16
"GOMART";"Christophe";"M";1960-06-20;37;"Cadre administratif et commercial d'entreprise";2024-07-16
"GOZI";"Sandro";"M";1968-03-25;33;"Cadre de la fonction publique";2024-07-16
"GRISET";"Catherine";"F";1972-08-20;33;"Cadre de la fonction publique";2024-07-16
"GRUDLER";"Christophe";"M";1965-04-09;33;"Cadre de la fonction publique";2024-07-16
"GUETTA";"Bernard";"M";1951-01-28;35;"Profession de l'information, des arts et des spectacles";2024-07-16
"HASSAN";"Rima";"F";1992-04-28;37;"Cadre administratif et commercial d'entreprise";2024-07-16
"HAYER";"Valérie";"F";1986-04-06;33;"Cadre de la fonction publique";2024-07-16
"IMART";"Céline";"F";1982-08-24;12;"Agriculteur sur moyenne exploitation";2024-07-16
"JAMET";"France";"F";1961-02-05;33;"Cadre de la fonction publique";2024-07-16
"JORON";"Virginie";"F";1973-12-11;38;"Ingénieur et cadre technique d'entreprise";2024-07-16
"JOUVET";"Pierre";"M";1986-10-06;33;"Cadre de la fonction publique";2024-07-16
"KALFON";"François";"M";1968-06-11;31;"Profession libérale";2024-07-16
"KELLER";"Fabienne";"F";1959-10-20;38;"Ingénieur et cadre technique d'entreprise";2024-07-16
"KNAFO";"Sarah";"F";1993-04-24;33;"Cadre de la fonction publique";2024-07-16
"LALUCQ";"Aurore";"F";1979-04-17;33;"Cadre de la fonction publique";2024-07-16
"LAURENT";"Murielle";"F";1977-09-21;45;"Profession intermédiaire administrative de la fonction publique";2024-07-16
"LE CALLENNEC";"Isabelle";"F";1966-10-14;37;"Cadre administratif et commercial d'entreprise";2024-07-16
"LEGGERI";"Fabrice";"M";1968-03-28;33;"Cadre de la fonction publique";2024-07-16
"LEONARDELLI";"Julien";"M";1987-07-14;33;"Cadre de la fonction publique";2024-07-16
"LOISEAU";"Nathalie";"F";1964-06-01;33;"Cadre de la fonction publique";2024-07-16
"MARIANI";"Thierry";"M";1958-08-08;33;"Cadre de la fonction publique";2024-07-16
"MARÉCHAL";"Marion";"F";1989-12-10;33;"Cadre de la fonction publique";2024-07-16
"MEBAREK";"Nora";"F";1972-07-22;33;"Cadre de la fonction publique";2024-07-16
"MESURE";"Marina";"F";1989-07-12;33;"Cadre de la fonction publique";2024-07-16
"MORANO";"Nadine";"F";1963-11-06;72;"Ancien artisan, commerçant, chef d'entreprise";2024-07-16
"NIKOLIC";"Aleksandar";"M";1986-10-04;33;"Cadre de la fonction publique";2024-07-16
"OLIVIER";"Philippe";"M";1961-08-30;37;"Cadre administratif et commercial d'entreprise";2024-07-16
"OMARJEE";"Younous";"M";1969-09-30;33;"Cadre de la fonction publique";2024-07-16
"PELLERIN-CARLIN";"Thomas";"M";1989-11-05;34;"Professeur, profession scientifique";2024-07-16
"PELTIER";"Guillaume";"M";1976-08-27;33;"Cadre de la fonction publique";2024-07-16
"PENNELLE";"Gilles";"M";1962-07-20;33;"Cadre de la fonction publique";2024-07-16
"PIERA";"Pascale";"F";1967-02-23;33;"Cadre de la fonction publique";2024-07-16
"PIMPIE";"Pierre";"M";1971-09-10;33;"Cadre de la fonction publique";2024-07-16
"RAFOWICZ";"Emma";"F";1995-06-24;84;"Elève, étudiant";2024-07-16
"RECHAGNEUX";"Julie";"F";1996-01-24;37;"Cadre administratif et commercial d'entreprise";2024-07-16
"RIDEL";"Chloé";"F";1991-11-25;33;"Cadre de la fonction publique";2024-07-16
"ROUGÉ";"André";"M";1961-12-23;85;"Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité)";2024-07-16
"SAEIDI";"Arash";"M";1975-05-25;23;"Chef d'entreprise de 10 salariés ou plus";2024-07-16
"SANCHEZ";"Julien";"M";1983-10-19;33;"Cadre de la fonction publique";2024-07-16
"SARGIACOMO";"Eric";"M";1969-10-31;33;"Cadre de la fonction publique";2024-07-16
"SATOURI";"Mounir";"M";1975-05-25;33;"Cadre de la fonction publique";2024-07-16
"SBAI";"Majdouline";"F";1977-09-10;34;"Professeur, profession scientifique";2024-07-16
"SMITH";"Anthony";"M";1975-04-03;33;"Cadre de la fonction publique";2024-07-16
"SOREL";"Malika";"F";1962-08-07;35;"Profession de l'information, des arts et des spectacles";2024-07-16
